index,author,review_source,title,season,release_date,review_length
5363,Sophie Gilbert,The Atlantic,Room 104,1.0,28-Jul-17,462
5364,Chris Cabin,Collider,Room 104,1.0,28-Jul-17,355
5365,Ed Power,The Telegraph,Altered Carbon,2.0,27-Feb-20,303
5366,Clint Worthington,Consequence,Altered Carbon,2.0,27-Feb-20,374
5367,Tim Surette,TV Guide,Altered Carbon,2.0,27-Feb-20,329
5368,Melanie McFarland,Salon,Altered Carbon,2.0,27-Feb-20,401
5369,Haleigh Foutch,Collider,The Rain,1.0,4-May-18,356
5370,Jen Chaney,New York Magazine (Vulture),The Rain,1.0,4-May-18,587
5371,Steve Greene,IndieWire,The Rain,1.0,4-May-18,321
5372,Brian Lowry,CNN,Goliath,1.0,13-Oct-16,302
5373,Maureen Ryan,Variety,Goliath,1.0,13-Oct-16,301
5374,Mike Hale,The New York Times,Goliath,1.0,13-Oct-16,358
5375,Mark A. Perigard,Boston Herald,Goliath,1.0,13-Oct-16,329
5376,Emily VanDerWerff,Vox.com,Goliath,1.0,13-Oct-16,322
5377,Nancy Franklin,The New Yorker,The Colbert Report,1.0,17-Oct-05,385
5378,Matt Zoller Seitz,New York Magazine (Vulture),Political Animals,1.0,15-Jul-12,396
5379,Mary Siroky,Consequence,Conversations with Friends,1.0,15-May-22,344
5380,Marianka Swain,The Telegraph,Conversations with Friends,1.0,15-May-22,309
5381,Angie Han,The Hollywood Reporter,Conversations with Friends,1.0,15-May-22,445
5382,Inkoo Kang,Washington Post,Conversations with Friends,1.0,15-May-22,376
5383,Richard Lawson,Vanity Fair,Conversations with Friends,1.0,15-May-22,478
5384,Caroline Framke,Variety,Conversations with Friends,1.0,15-May-22,362
5385,Manuel Betancourt,The A.V. Club,Conversations with Friends,1.0,15-May-22,322
5386,Brian Lowry,Variety,Trust Me,1.0,26-Jan-09,321
5387,Chris Kaltenbach,Baltimore Sun,Dangerous Minds,1.0,30-Sep-96,366
5388,Ann Hodges,Houston Chronicle,Dangerous Minds,1.0,30-Sep-96,348
5389,Howard Rosenberg,Los Angeles Times,Dangerous Minds,1.0,30-Sep-96,315
5390,David Bianculli,New York Daily News,Dangerous Minds,1.0,30-Sep-96,398
5391,Steve Greene,IndieWire,Breeders,1.0,2-Mar-20,398
5392,Rob Owen,Pittsburgh Post-Gazette,Breeders,1.0,2-Mar-20,434
5393,Inkoo Kang,The Hollywood Reporter,Breeders,1.0,2-Mar-20,424
5394,David Hinckley,New York Daily News,Playing House,1.0,29-Apr-14,366
5395,Dan Fienberg,The Hollywood Reporter,Blood Drive,1.0,14-Jun-17,404
5396,Robert Lloyd,Los Angeles Times,Blood Drive,1.0,14-Jun-17,318
5397,Neil Genzlinger,The New York Times,Blood Drive,1.0,14-Jun-17,452
5398,Haleigh Foutch,Collider,Blood Drive,1.0,14-Jun-17,333
5399,Ken Tucker,Yahoo TV,Blood Drive,1.0,14-Jun-17,330
5400,Richard Roeper,Chicago Sun-Times,Kevin Can F**k Himself,1.0,13-Jun-21,408
5401,Robert Lloyd,Los Angeles Times,Kevin Can F**k Himself,1.0,13-Jun-21,471
5402,Brian Tallerico,The Playlist,Kevin Can F**k Himself,1.0,13-Jun-21,324
5403,Lucy Mangan,The Guardian,Kevin Can F**k Himself,1.0,13-Jun-21,467
5404,Dan Fienberg,The Hollywood Reporter,Kevin Can F**k Himself,1.0,13-Jun-21,341
5405,Steven Scaife,Slant Magazine,Kevin Can F**k Himself,1.0,13-Jun-21,337
5406,Matt Roush,TV Guide Magazine,Kevin Can F**k Himself,1.0,13-Jun-21,352
5407,Melanie McFarland,Salon,Kevin Can F**k Himself,1.0,13-Jun-21,369
5408,Rob Owen,Pittsburgh Tribune-Review,Kevin Can F**k Himself,1.0,13-Jun-21,315
5409,Roxana Hadadi,RogerEbert.com,Kevin Can F**k Himself,1.0,13-Jun-21,378
5410,Melanie McFarland,Salon,Q: Into the Storm,1.0,21-Mar-21,537
5411,Glenn Garvin,Reason.com,Q: Into the Storm,1.0,21-Mar-21,316
5412,Brian Tallerico,RogerEbert.com,Q: Into the Storm,1.0,21-Mar-21,423
5413,Stephen Robinson,The A.V. Club,Q: Into the Storm,1.0,21-Mar-21,301
5414,Sophie Gilbert,The Atlantic,Q: Into the Storm,1.0,21-Mar-21,458
5415,Brian Lowry,CNN,Q: Into the Storm,1.0,21-Mar-21,369
5416,Inkoo Kang,The Hollywood Reporter,Coyote,1.0,7-Jan-21,319
5417,Tim Surette,TV Guide,For All Mankind,1.0,1-Nov-19,378
5418,Danette Chavez,The A.V. Club,For All Mankind,1.0,1-Nov-19,310
5419,Jacob Oller,Paste Magazine,For All Mankind,1.0,1-Nov-19,390
5420,Brian Tallerico,RogerEbert.com,For All Mankind,1.0,1-Nov-19,311
5421,Haleigh Foutch,Collider,For All Mankind,1.0,1-Nov-19,395
5422,Tim Goodman,The Hollywood Reporter,For All Mankind,1.0,1-Nov-19,300
5423,Steve Greene,IndieWire,For All Mankind,1.0,1-Nov-19,372
5424,Benjamin Lee,The Guardian,For All Mankind,1.0,1-Nov-19,372
5425,Ashlie D. Stevens,Salon,For All Mankind,1.0,1-Nov-19,313
5426,Judy Berman,Time,For All Mankind,1.0,1-Nov-19,328
5427,Alan Sepinwall,Rolling Stone,For All Mankind,1.0,1-Nov-19,395
5428,Tom Shales,Washington Post,Christy,1.0,3-Apr-94,392
5429,Greg Dawson,Orlando Sentinel,Christy,1.0,3-Apr-94,372
5430,Jonathan Storm,Philadelphia Inquirer,Christy,1.0,3-Apr-94,379
5431,Emily VanDerWerff,Vox.com,The Path,2.0,25-Jan-17,360
5432,Ben Travers,IndieWire,The Path,2.0,25-Jan-17,331
5433,Robert Bianco,USA Today,Lie to Me,1.0,21-Jan-09,300
5434,David Hinckley,New York Daily News,Lie to Me,1.0,21-Jan-09,309
5435,Ray Richmond,The Hollywood Reporter,Lie to Me,1.0,21-Jan-09,359
5436,Elizabeth Morgan,TV Guide,Emily in Paris,2.0,22-Dec-21,365
5437,Ed Cumming,The Independent,Emily in Paris,2.0,22-Dec-21,305
5438,Robyn Bahr,The Hollywood Reporter,Emily in Paris,2.0,22-Dec-21,430
5439,Lauren Morris,Radio Times,Emily in Paris,2.0,22-Dec-21,307
5440,Kaveh Jalinous,Under The Radar,Emily in Paris,2.0,22-Dec-21,454
5441,Mike Hale,The New York Times,Self Made: Inspired by the Life of Madam C.J. Walker,1.0,20-Mar-20,399
5442,Judy Berman,Time,Self Made: Inspired by the Life of Madam C.J. Walker,1.0,20-Mar-20,478
5443,Melanie McFarland,Salon,Self Made: Inspired by the Life of Madam C.J. Walker,1.0,20-Mar-20,539
5444,Benjamin Lee,The Guardian,Self Made: Inspired by the Life of Madam C.J. Walker,1.0,20-Mar-20,369
5445,Rick Kogan,Chicago Tribune,Dave's World,1.0,20-Sep-93,304
5446,Miles Beller,The Hollywood Reporter,Dave's World,1.0,20-Sep-93,322
5447,Alan Sepinwall,Rolling Stone,Marvel's Luke Cage,2.0,22-Jun-18,326
5448,Dan Fienberg,The Hollywood Reporter,Marvel's Luke Cage,2.0,22-Jun-18,402
5449,Danette Chavez,The A.V. Club,Marvel's Luke Cage,2.0,22-Jun-18,334
5450,Michael Haigis,Slant Magazine,Marvel's Luke Cage,2.0,22-Jun-18,458
5451,Allison Shoemaker,RogerEbert.com,Westworld,3.0,15-Mar-20,575
5452,Kristen Baldwin and Darren Franich,Entertainment Weekly,Westworld,3.0,15-Mar-20,510
5453,Kevin Fallon,The Daily Beast,Westworld,3.0,15-Mar-20,351
5454,Mike Hale,The New York Times,Westworld,3.0,15-Mar-20,497
5455,Matt Zoller Seitz,New York Magazine (Vulture),Westworld,3.0,15-Mar-20,398
5456,Melanie McFarland,Salon,Westworld,3.0,15-Mar-20,384
5457,Ben Travers,IndieWire,Westworld,3.0,15-Mar-20,327
5458,Judy Berman,Time,Westworld,3.0,15-Mar-20,457
5459,Tim Surette,TV Guide,Westworld,3.0,15-Mar-20,331
5460,Daniel D'Addario,Variety,Westworld,3.0,15-Mar-20,381
5461,John Anderson,Wall Street Journal,Ragdoll,1.0,11-Nov-21,365
5462,Dan Fienberg,The Hollywood Reporter,Ragdoll,1.0,11-Nov-21,421
5463,David Sims,The Atlantic,The Daily Show with Trevor Noah,1.0,28-Sep-15,315
5464,Matt Zoller Seitz,New York Magazine (Vulture),The Daily Show with Trevor Noah,1.0,28-Sep-15,435
5465,Josh Bell,Las Vegas Weekly,The Daily Show with Trevor Noah,1.0,28-Sep-15,479
5466,Robert Lloyd,Los Angeles Times,The Daily Show with Trevor Noah,1.0,28-Sep-15,392
5467,Mark Dawidziak,Cleveland Plain Dealer,The Daily Show with Trevor Noah,1.0,28-Sep-15,377
5468,Jeff Jensen,Entertainment Weekly,The Daily Show with Trevor Noah,1.0,28-Sep-15,345
5469,Rob Owen,Pittsburgh Post-Gazette,The Daily Show with Trevor Noah,1.0,28-Sep-15,464
5470,Maureen Ryan,The Huffington Post,Terra Nova,1.0,26-Sep-11,337
5471,Melanie McFarland,Salon,Little Women (2018),1.0,13-May-18,492
5472,John Anderson,Wall Street Journal,Little Women (2018),1.0,13-May-18,414
5473,Mike Hale,The New York Times,Little Women (2018),1.0,13-May-18,343
5474,Hank Stuever,Washington Post,Little Women (2018),1.0,13-May-18,397
5475,Bruce Miller,Sioux City Journal,Little Women (2018),1.0,13-May-18,380
5476,Dan Fienberg,The Hollywood Reporter,Little Women (2018),1.0,13-May-18,426
5477,Robert Lloyd,Los Angeles Times,Bored to Death,1.0,20-Sep-09,362
5478,Maureen Ryan,Chicago Tribune,Bored to Death,1.0,20-Sep-09,397
5479,Daniel D'Addario,Time,Claws,1.0,11-Jun-17,395
5480,Ken Tucker,Yahoo TV,Claws,1.0,11-Jun-17,353
5481,Jen Chaney,New York Magazine (Vulture),Claws,1.0,11-Jun-17,344
5482,Sonia Saraiya,Variety,Claws,1.0,11-Jun-17,402
5483,Hank Stuever,Washington Post,Claws,1.0,11-Jun-17,395
5484,Melanie McFarland,Salon,For Life,1.0,11-Feb-20,519
5485,Tim Surette,TV Guide,For Life,1.0,11-Feb-20,365
5486,Mike Hale,The New York Times,For Life,1.0,11-Feb-20,428
5487,Aaron Barnhart,Primetimer,For Life,1.0,11-Feb-20,556
5488,Hank Stuever,Washington Post,For Life,1.0,11-Feb-20,412
5489,Rob Owen,Pittsburgh Post-Gazette,Luther,5.0,2-Jun-19,347
5490,Mike Hale,The New York Times,Luther,5.0,2-Jun-19,367
5491,Peter Swanson,Slant Magazine,Hot in Cleveland,1.0,16-Jun-10,335
5492,Hank Stuever,Washington Post,Hot in Cleveland,1.0,16-Jun-10,348
5493,Glenn Garvin,Reason.com,Now Apocalypse,1.0,10-Mar-19,321
5494,Matt Zoller Seitz,New York Magazine (Vulture),Now Apocalypse,1.0,10-Mar-19,534
5495,Danette Chavez,The A.V. Club,Now Apocalypse,1.0,10-Mar-19,307
5496,Maureen Ryan,Variety,Mad Dogs (2016),1.0,22-Jan-16,364
5497,James Poniewozik,The New York Times,Mad Dogs (2016),1.0,22-Jan-16,343
5498,Ken Tucker,Yahoo TV,Mad Dogs (2016),1.0,22-Jan-16,512
5499,Robert Lloyd,Los Angeles Times,Mad Dogs (2016),1.0,22-Jan-16,307
5500,Sam Woolf,We Got This Covered,Mad Dogs (2016),1.0,22-Jan-16,421
5501,Brian Tallerico,RogerEbert.com,Mad Dogs (2016),1.0,22-Jan-16,363
5502,Alan Sepinwall,Hitfix,Mad Dogs (2016),1.0,22-Jan-16,392
5503,Heidi Patalano,The Wrap,Mad Dogs (2016),1.0,22-Jan-16,308
5504,Dan Fienberg,The Hollywood Reporter,Home Before Dark,1.0,3-Apr-20,378
5505,Mike Hale,The New York Times,Home Before Dark,1.0,3-Apr-20,518
5506,Whitney Friedlander,Paste Magazine,Home Before Dark,1.0,3-Apr-20,636
5507,Melanie McFarland,Salon,Home Before Dark,1.0,3-Apr-20,460
5508,Caroline Framke,Variety,Home Before Dark,1.0,3-Apr-20,553
5509,Lucy Mangan,The Guardian,Home Before Dark,1.0,3-Apr-20,358
5510,Joshua Alston,The A.V. Club,Sense8,1.0,5-Jun-15,392
5511,Margaret Lyons,New York Magazine (Vulture),Sense8,1.0,5-Jun-15,429
5512,Brian Lowry,CNN,Altered Carbon,1.0,2-Feb-18,408
5513,Willa Paskin,Slate,Altered Carbon,1.0,2-Feb-18,497
5514,Emily VanDerWerff,Vox.com,Altered Carbon,1.0,2-Feb-18,335
5515,Nick Schager,The Daily Beast,Altered Carbon,1.0,2-Feb-18,381
5516,Alex McLevy,The A.V. Club,Altered Carbon,1.0,2-Feb-18,350
5517,Mike Hale,The New York Times,Altered Carbon,1.0,2-Feb-18,542
5518,Darren Franich,Entertainment Weekly,Altered Carbon,1.0,2-Feb-18,345
5519,Ken Tucker,Yahoo TV,Altered Carbon,1.0,2-Feb-18,333
5520,Matthew Gilbert,Boston Globe,Altered Carbon,1.0,2-Feb-18,358
5521,Mike Hale,The New York Times,The World According to Jeff Goldblum,1.0,12-Nov-19,308
5522,Ed Bark,Uncle Barky,Champions,1.0,8-Mar-18,317
5523,Dan Fienberg,The Hollywood Reporter,Champions,1.0,8-Mar-18,364
5524,David Zurawik,Baltimore Sun,That '70s Show,1.0,23-Aug-98,314
5525,Alan Sepinwall,Rolling Stone,Servant,1.0,28-Nov-19,356
5526,Daniel D'Addario,Variety,Servant,1.0,28-Nov-19,341
5527,Mike Hale,The New York Times,Servant,1.0,28-Nov-19,326
5528,Kristen Baldwin,Entertainment Weekly,Servant,1.0,28-Nov-19,309
5529,Aaron Barnhart,Primetimer,Servant,1.0,28-Nov-19,321
5530,Laura Bradley,Vanity Fair,Servant,1.0,28-Nov-19,337
5531,Randall Colburn,The A.V. Club,Servant,1.0,28-Nov-19,372
5532,Lucy Mangan,The Guardian,Servant,1.0,28-Nov-19,361
5533,Rob Owen,Pittsburgh Post-Gazette,Servant,1.0,28-Nov-19,301
5534,Dan Fienberg,The Hollywood Reporter,Servant,1.0,28-Nov-19,410
5535,Matthew Gilbert,Boston Globe,Up All Night,1.0,14-Sep-11,333
5536,Hank Stuever,Washington Post,Up All Night,1.0,14-Sep-11,358
5537,Maureen Ryan,The Huffington Post,Up All Night,1.0,14-Sep-11,452
5538,Mike Duffy,Detroit Free Press,Titus,1.0,20-Mar-00,333
5539,David Kronke,Los Angeles Daily News,Titus,1.0,20-Mar-00,322
5540,Rob Owen,Pittsburgh Post-Gazette,Titus,1.0,20-Mar-00,344
5541,Diane Werts,Newsday,The Real World,1.0,21-May-92,300
5542,John Leland,Newsweek,The Real World,1.0,21-May-92,384
5543,Andy Klein,The Hollywood Reporter,The Real World,1.0,21-May-92,352
5544,Whitney Matheson,The Hollywood Reporter,Schitt's Creek,1.0,13-Jan-15,356
5545,Robert Abele,L.A. Weekly,The Sarah Silverman Program,1.0,1-Feb-07,307
5546,Manuel Betancourt,The A.V. Club,Now and Then (2022),1.0,20-May-22,371
5547,Matthew Gilbert,Boston Globe,Now and Then (2022),1.0,20-May-22,395
5548,Amy Amatangelo,Paste Magazine,BH90210,1.0,7-Aug-19,388
5549,Verne Gay,Newsday,BH90210,1.0,7-Aug-19,328
5550,Jen Chaney,New York Magazine (Vulture),BH90210,1.0,7-Aug-19,387
5551,Lily Moayeri,Under The Radar,BH90210,1.0,7-Aug-19,321
5552,Matt Roush,TV Guide Magazine,The Michael J. Fox Show,1.0,26-Sep-13,326
5553,Chuck Barney,San Jose Mercury News/Contra Costa Times,The Michael J. Fox Show,1.0,26-Sep-13,319
5554,Tim Goodman,The Hollywood Reporter,The Michael J. Fox Show,1.0,26-Sep-13,366
5555,Kathryn VanArendonk,New York Magazine (Vulture),Whiskey Cavalier,1.0,27-Feb-19,403
5556,Robert Lloyd,Los Angeles Times,Whiskey Cavalier,1.0,27-Feb-19,357
5557,Neil Genzlinger,The New York Times,The Librarians (2014),1.0,7-Dec-14,320
5558,Brian Lowry,Variety,Covert Affairs,1.0,13-Jul-10,319
5559,Aaron Barnhart,Kansas City Star,Covert Affairs,1.0,13-Jul-10,389
5560,Brian Lowry,Variety,Saving Grace,1.0,23-Jul-07,313
5561,Robyn Bahr,The Hollywood Reporter,High School Musical: The Musical: The Series,1.0,8-Nov-19,366
5562,Margaret Lyons,The New York Times,High School Musical: The Musical: The Series,1.0,8-Nov-19,470
5563,Judy Berman,Time,High School Musical: The Musical: The Series,1.0,8-Nov-19,306
5564,Vinnie Mancuso,Collider,High School Musical: The Musical: The Series,1.0,8-Nov-19,359
5565,Caroline Framke,Variety,High School Musical: The Musical: The Series,1.0,8-Nov-19,342
5566,Chris Barton,Los Angeles Times,The Rookie,1.0,16-Oct-18,328
5567,Ben Travers,IndieWire,The Rookie,1.0,16-Oct-18,325
5568,Glenn Garvin,Reason.com,The Rookie,1.0,16-Oct-18,372
5569,Ed Bark,Uncle Barky,The Rookie,1.0,16-Oct-18,317
5570,Eric Mink,New York Daily News,South Park,1.0,13-Aug-97,419
5571,Kelly Lawler,USA Today,CSI: Vegas,1.0,6-Oct-21,346
5572,Robert Lloyd,Los Angeles Times,Raised by Wolves,1.0,3-Sep-20,381
5573,Dan Fienberg,The Hollywood Reporter,Raised by Wolves,1.0,3-Sep-20,559
5574,Nick Allen,RogerEbert.com,Raised by Wolves,1.0,3-Sep-20,377
5575,Melanie McFarland,Salon,Raised by Wolves,1.0,3-Sep-20,331
5576,Mike Hale,The New York Times,Raised by Wolves,1.0,3-Sep-20,576
5577,Tim Surette,TV Guide,Raised by Wolves,1.0,3-Sep-20,398
5578,John Anderson,Wall Street Journal,Raised by Wolves,1.0,3-Sep-20,394
5579,Caroline Framke,Variety,Raised by Wolves,1.0,3-Sep-20,471
5580,Brian Lowry,CNN,Raised by Wolves,1.0,3-Sep-20,405
5581,Meghan O'Keefe,Decider,Raised by Wolves,1.0,3-Sep-20,370
5582,Jacob Oller,Paste Magazine,Raised by Wolves,1.0,3-Sep-20,429
5583,Clint Worthington,Consequence,Raised by Wolves,1.0,3-Sep-20,386
5584,Lucy Mangan,The Guardian,Raised by Wolves,1.0,3-Sep-20,355
5585,Hank Stuever,Washington Post,Raised by Wolves,1.0,3-Sep-20,401
5586,Robert Lloyd,Los Angeles Times,The Glades,1.0,11-Jul-10,359
5587,Neil Genzlinger,The New York Times,The Glades,1.0,11-Jul-10,494
5588,Ed Bark,Uncle Barky,Sleepy Hollow,1.0,16-Sep-13,301
5589,Mike Hale,The New York Times,Making History,1.0,5-Mar-17,336
5590,Emily VanDerWerff,Vox.com,Making History,1.0,5-Mar-17,329
5591,Alan Sepinwall,UPROXX,SMILF,1.0,5-Nov-17,319
5592,James Poniewozik,The New York Times,SMILF,1.0,5-Nov-17,349
5593,Matthew Gilbert,Boston Globe,SMILF,1.0,5-Nov-17,318
5594,Robert Lloyd,Los Angeles Times,Revolution,1.0,17-Sep-12,335
5595,Maureen Ryan,The Huffington Post,Revolution,1.0,17-Sep-12,422
5596,Cynthia Fuchs,PopMatters,Scandal,1.0,5-Apr-12,306
5597,Sarah Rodman,Boston Globe,Scandal,1.0,5-Apr-12,328
5598,Willa Paskin,Salon,Scandal,1.0,5-Apr-12,336
5599,Ben Travers,IndieWire,Chance,1.0,19-Oct-16,501
5600,Maureen Ryan,Variety,Chance,1.0,19-Oct-16,385
5601,Robert Bianco,USA Today,Barbershop,1.0,14-Aug-05,475
5602,Diane Werts,Newsday,Barbershop,1.0,14-Aug-05,337
5603,Chuck Barney,San Jose Mercury News/Contra Costa Times,Barbershop,1.0,14-Aug-05,327
5604,Jesse Hassenger,The A.V. Club,MacGruber (2021),1.0,16-Dec-21,415
5605,Daniel D'Addario,Variety,MacGruber (2021),1.0,16-Dec-21,393
5606,Michael Landweber,PopMatters,Better With You,1.0,22-Sep-10,362
5607,Mike Hale,The New York Times,Better With You,1.0,22-Sep-10,408
5608,Ellen Gray,Philadelphia Daily News,Life in Pieces,1.0,21-Sep-15,305
5609,Ken Tucker,Yahoo TV,Life in Pieces,1.0,21-Sep-15,333
5610,Hank Stuever,Washington Post,Life in Pieces,1.0,21-Sep-15,300
5611,Dan Fienberg,The Hollywood Reporter,Life in Pieces,1.0,21-Sep-15,304
5612,Keith Uhlich,The Hollywood Reporter,The Carmichael Show,1.0,26-Aug-15,345
5613,Robert Bianco,USA Today,Frequency,1.0,5-Oct-16,300
5614,Glenn Garvin,Reason.com,Frequency,1.0,5-Oct-16,470
5615,Greg Dawson,Orlando Sentinel,Home Improvement,1.0,17-Sep-91,307
5616,Charlie McCollum,San Jose Mercury News/Contra Costa Times,The Tudors,1.0,1-Apr-07,355
5617,Robert Bianco,USA Today,The Tudors,1.0,1-Apr-07,342
5618,Ellen Gray,Philadelphia Daily News,Law & Order: Los Angeles,1.0,29-Sep-10,324
5619,Robert Lloyd,Los Angeles Times,Law & Order: Los Angeles,1.0,29-Sep-10,325
5620,Linda Stasi,New York Post,Law & Order: Los Angeles,1.0,29-Sep-10,312
5621,Matt Roush,TV Guide Magazine,Law & Order: Los Angeles,1.0,29-Sep-10,322
5622,Troy Patterson,Slate,Law & Order: Los Angeles,1.0,29-Sep-10,306
5623,Hank Stuever,Washington Post,The Undoing,1.0,25-Oct-20,321
5624,Sonia Saraiya,Vanity Fair,The Undoing,1.0,25-Oct-20,376
5625,Joel Keller,Decider,The Undoing,1.0,25-Oct-20,301
5626,Rodrigo Perez,The Playlist,The Undoing,1.0,25-Oct-20,372
5627,Mike Hale,The New York Times,The Undoing,1.0,25-Oct-20,529
5628,Alan Sepinwall,Rolling Stone,The Undoing,1.0,25-Oct-20,354
5629,Naomi Fry,The New Yorker,The Undoing,1.0,25-Oct-20,333
5630,John Anderson,Wall Street Journal,The Undoing,1.0,25-Oct-20,444
5631,Glenn Garvin,Reason.com,The Undoing,1.0,25-Oct-20,321
5632,Brian Lowry,CNN,The Undoing,1.0,25-Oct-20,351
5633,Matthew Gilbert,Boston Globe,The Undoing,1.0,25-Oct-20,411
5634,Carol Midgley,The Times,The Undoing,1.0,25-Oct-20,391
5635,Carol Midgley,The Times,The Me You Can't See,1.0,21-May-21,394
5636,Adam White,The Independent,The Me You Can't See,1.0,21-May-21,411
5637,Lucy Mangan,The Guardian,The Me You Can't See,1.0,21-May-21,506
5638,Mike Hale,The New York Times,Avenue 5,1.0,19-Jan-20,318
5639,Judy Berman,Time,Avenue 5,1.0,19-Jan-20,380
5640,Terry Terrones,Colorado Springs Gazette,Avenue 5,1.0,19-Jan-20,312
5641,Angelica Jade Bastien,New York Magazine (Vulture),Avenue 5,1.0,19-Jan-20,410
5642,Brian Tallerico,RogerEbert.com,Avenue 5,1.0,19-Jan-20,415
5643,Tim Surette,TV Guide,Avenue 5,1.0,19-Jan-20,353
5644,Troy Patterson,The New Yorker,Avenue 5,1.0,19-Jan-20,347
5645,Dan Fienberg,The Hollywood Reporter,Avenue 5,1.0,19-Jan-20,326
5646,LaToya Ferguson,Paste Magazine,Avenue 5,1.0,19-Jan-20,301
5647,Lucy Mangan,The Guardian,Avenue 5,1.0,19-Jan-20,360
5648,Matthew Gilbert,Boston Globe,Avenue 5,1.0,19-Jan-20,316
5649,Caroline Framke,Variety,Avenue 5,1.0,19-Jan-20,413
5650,Bruce Miller,Sioux City Journal,Avenue 5,1.0,19-Jan-20,380
5651,Rob Owen,Pittsburgh Post-Gazette,Full Circle,1.0,9-Oct-13,321
5652,Robert Lloyd,Los Angeles Times,Star Wars: The Clone Wars,1.0,3-Oct-08,335
5653,Brian Lowry,Variety,Star Wars: The Clone Wars,1.0,3-Oct-08,332
5654,Glenn Garvin,Reason.com,Ordinary Joe,1.0,20-Sep-21,407
5655,Mike Hale,The New York Times,Ordinary Joe,1.0,20-Sep-21,395
5656,Brian Lowry,CNN,Ordinary Joe,1.0,20-Sep-21,332
5657,Kaitlin Thomas,Paste Magazine,Ordinary Joe,1.0,20-Sep-21,320
5658,Dave Nemetz,TVLine,Genius (2017),1.0,25-Apr-17,312
5659,John Anderson,Wall Street Journal,Genius (2017),1.0,25-Apr-17,414
5660,Allison Keene,Collider,Genius (2017),1.0,25-Apr-17,323
5661,Erik Adams,The A.V. Club,Girl Meets World,1.0,27-Jun-14,311
5662,Andy Bailey,The Hollywood Reporter,Undercovers,1.0,22-Sep-10,344
5663,Mary McNamara,Los Angeles Times,Undercovers,1.0,22-Sep-10,356
5664,Maureen Ryan,The Huffington Post,Undercovers,1.0,22-Sep-10,365
5665,Ken Tucker,Entertainment Weekly,The Drew Carey Show,1.0,13-Sep-95,372
5666,Mike Hale,The New York Times,Armistead Maupin's Tales of the City,1.0,7-Jun-19,403
5667,Alan Sepinwall,Rolling Stone,Armistead Maupin's Tales of the City,1.0,7-Jun-19,357
5668,Daniel D'Addario,Variety,Armistead Maupin's Tales of the City,1.0,7-Jun-19,343
5669,Matthew Gilbert,Boston Globe,Armistead Maupin's Tales of the City,1.0,7-Jun-19,549
5670,Melanie McFarland,Salon,Armistead Maupin's Tales of the City,1.0,7-Jun-19,540
5671,Maysa Hattab,PopMatters,Doll & Em,1.0,19-Mar-14,313
5672,Troy Patterson,Slate,Alphas,1.0,11-Jul-11,335
5673,David Wiegand,San Francisco Chronicle,Alphas,1.0,11-Jul-11,344
5674,Heather Havrilesky,Salon,True Blood,1.0,7-Sep-08,308
5675,Alan Sepinwall,Newark Star-Ledger,True Blood,1.0,7-Sep-08,351
5676,David Hinckley,New York Daily News,True Blood,1.0,7-Sep-08,325
5677,Rob Owen,Pittsburgh Post-Gazette,The L Word,1.0,18-Jan-04,319
5678,Amy Amatangelo,Boston Herald,The L Word,1.0,18-Jan-04,424
5679,Alan Sepinwall,Newark Star-Ledger,The L Word,1.0,18-Jan-04,364
5680,Gwendolyn Smith,i,Ten Percent,1.0,29-Apr-22,352
5681,Dorothy Rabinowitz,Wall Street Journal,Ten Percent,1.0,29-Apr-22,450
5682,Nick Hilton,The Independent,Ten Percent,1.0,29-Apr-22,327
5683,Matthew Gilbert,Boston Globe,Ten Percent,1.0,29-Apr-22,562
5684,Gwen Ihnat,The A.V. Club,Liar,1.0,11-Sep-17,395
5685,Liz Shannon Miller,IndieWire,Liar,1.0,11-Sep-17,369
5686,Glenn Garvin,Reason.com,All American,1.0,10-Oct-18,418
5687,Ben Travers,IndieWire,All American,1.0,10-Oct-18,313
5688,Daniel D'Addario,Variety,All American,1.0,10-Oct-18,452
5689,Robert Lloyd,Los Angeles Times,All American,1.0,10-Oct-18,497
5690,Mark A. Perigard,Boston Herald,All American,1.0,10-Oct-18,408
5691,Allison Keene,Collider,All American,1.0,10-Oct-18,300
5692,Caroline Framke,Variety,Y: The Last Man,1.0,13-Sep-21,439
5693,Benji Wilson,The Telegraph,Y: The Last Man,1.0,13-Sep-21,428
5694,Brian Lowry,CNN,Y: The Last Man,1.0,13-Sep-21,309
5695,Dan Fienberg,The Hollywood Reporter,Y: The Last Man,1.0,13-Sep-21,437
5696,Kristen Lopez,IndieWire,Y: The Last Man,1.0,13-Sep-21,383
5697,Andrew Bundy,The Playlist,Y: The Last Man,1.0,13-Sep-21,365
5698,Lucy Mangan,The Guardian,Y: The Last Man,1.0,13-Sep-21,368
5699,Dave Nemetz,TVLine,Y: The Last Man,1.0,13-Sep-21,316
5700,Angelica Jade Bastien,New York Magazine (Vulture),Y: The Last Man,1.0,13-Sep-21,310
5701,Judy Berman,Time,Y: The Last Man,1.0,13-Sep-21,477
5702,Rob Owen,Pittsburgh Post-Gazette,Benched,1.0,28-Oct-14,378
5703,Brian Lowry,Variety,Golden Boy,1.0,26-Feb-13,419
5704,Linda Stasi,New York Post,Golden Boy,1.0,26-Feb-13,443
5705,Glenn Garvin,Reason.com,Young Sheldon,1.0,25-Sep-17,358
